HJD,Source-Sky_T,Source_Error_T,Source-Sky_A,Source_Error_A,Source-Sky_B,Source_Error_B,Source-Sky_C,Source_Error_C
2454313.695,405043.0827,1833.786725,258285.4552,1811.824161,465725.1541,1847.809044,34306.8573,1768.46311
2454313.697,420407.661,1827.33712,261829.3817,1797.794442,482648.5974,1837.489527,32437.38584,1752.152306
2454313.7,418509.6411,1839.538378,270819.0033,1813.761292,473758.2928,1850.139338,29265.08967,1769.564763
2454313.703,434159.3884,1834.639784,268381.4274,1806.36698,478368.1184,1840.796363,30994.63798,1764.875484
2454313.705,441662.0418,1842.523366,271273.8493,1810.424535,492125.6091,1850.440124,32351.26907,1759.176752
2454313.708,460461.8653,1843.445527,276138.9606,1808.321034,500550.0462,1846.933664,33678.77246,1760.864639
2454313.711,481709.5051,1836.234148,284376.2251,1802.455716,510665.163,1841.27301,31771.35529,1750.423399
2454313.714,492959.7482,1863.203578,277862.2358,1826.042206,503238.0624,1860.344917,31288.79863,1777.986098
2454313.716,508343.1848,1866.074697,278851.5226,1829.313353,506000.0172,1869.882671,34225.63834,1781.154086
2454313.719,530704.4816,1888.528354,274610.1031,1841.842669,497870.2251,1882.703509,31189.36724,1797.112046
2454313.722,581326.2629,1884.873484,281235.1274,1828.043627,508450.8467,1872.47065,30389.39337,1781.06746
2454313.725,604206.8254,1933.367505,266769.8936,1876.811259,490643.5159,1909.404184,29247.14254,1832.326381
2454313.728,623927.6295,1965.51876,260665.7809,1902.199583,473823.9108,1940.445892,31437.55051,1861.99776
2454313.73,679711.0245,1974.772958,266661.4307,1905.507435,471570.5193,1941.221971,27173.32164,1859.024746
2454313.733,742023.0773,1965.942992,267361.2453,1881.832226,483008.1801,1925.337548,30307.11101,1842.026042
2454313.739,911972.3273,1950.163124,285450.2482,1838.551151,510712.2211,1876.27333,32490.90541,1789.08943
2454313.741,991890.3284,1954.12669,292180.7676,1831.957181,517792.1402,1868.846073,33175.92504,1780.630507
2454313.744,1049738.384,1969.016946,288999.5151,1836.311633,513926.3723,1876.079063,32842.35619,1789.214864
2454313.747,1126961.518,1970.29267,294972.3904,1820.804843,527229.1111,1866.038814,32904.79983,1775.34215
2454313.749,1171251.66,1991.043211,296877.693,1836.415622,527951.3736,1876.512851,31859.74541,1789.66916
2454313.753,1175490.861,2016.507094,291072.4338,1861.212097,519630.3247,1906.366903,33244.05405,1815.280691
2454313.756,1187425.123,2020.847022,288830.3961,1866.382556,520240.1353,1904.805263,30729.36334,1819.413026
2454313.758,1165732.103,2032.138005,284063.7714,1880.014727,519279.2256,1925.860782,35381.92387,1832.037958
2454313.761,1149340.892,2029.526732,282648.0087,1882.500163,512105.7317,1924.020516,29010.70433,1838.427806
2454313.763,1159306.065,2025.560496,289438.7291,1874.027689,518645.9103,1915.469533,32464.15278,1825.691155
2454313.77,1109681.672,2008.738943,283528.2759,1871.808813,510762.8539,1908.896667,35478.78083,1818.395929
2454313.773,1105712.479,2004.683247,293192.0291,1862.1973,517984.5367,1906.107801,33415.81219,1817.456134
2454313.775,1098373.625,1997.322596,291970.2442,1854.263706,525165.8214,1898.351418,32611.93659,1808.016094
2454313.778,1104290.683,1985.066643,299300.3331,1847.677723,535976.8296,1886.678277,38338.27392,1796.12169
2454313.78,908818.7055,1813.976814,249490.0209,1685.44922,449679.3279,1726.385951,28472.71224,1638.60822
2454313.783,899876.0901,1811.310505,252812.1284,1686.006551,450525.6401,1725.507603,34888.88237,1642.678391
