#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
58,0.17376341,62.17600484,26.06,7.665,7.11,0.67,0.006,0.005
128,0.41376473,73.61187664,15.2,6.74,6.521,0.63,0.004,0.004
142,0.45374866,66.30600204,16.04,8.222,7.414,0.69,0.007,0.007
246,0.76368704,56.733184,18.29,10.937,9.887,1.56,0.043,0.027
475,1.42333268,58.31365552,21.03,8.964,8.288,1.06,0.012,0.011
518,1.56474395,58.43668966,49.3,7.002,6.266,1.05,0.017,0.019
641,1.96614972,55.57701937,21.83,8.544,7.886,0.84,0.009,0.008
691,2.12551099,52.33640337,14.43,8.186,7.808,0.96,0.006,0.007
723,2.23740813,66.45664771,31.34,9.734,8.705,2.1,0.018,0.013
746,2.29204036,59.15021814,59.89,2.72,2.318,0.56,0.003,0.003
755,2.31906353,65.07079864,17.03,8.209,7.132,0.69,0.009,0.006
889,2.73299802,48.1104051,16.45,9.079,8.461,0.95,0.011,0.01
1148,3.58886546,60.34163069,22.51,9.389,8.579,1.49,0.014,0.012
1673,5.23346296,63.66753423,13.2,9.406,8.832,0.99,0.016,0.015
1674,5.23788452,67.66729201,31.49,8.677,7.791,1.51,0.022,0.017
1892,5.97214938,60.96163429,18.64,7.016,6.614,0.69,0.004,0.004
1987,6.28540806,48.04745932,23.69,8.244,7.599,1.08,0.009,0.007
2120,6.72057388,70.14277688,61.39,12.129,10.734,1.51,0.133,0.064
2131,6.75751592,60.40253424,14.38,9.742,8.992,1.05,0.018,0.015
2352,7.50728307,75.2428594,13.12,9.169,8.474,0.85,0.015,0.013
2364,7.5443096,54.46332826,25.04,11.518,10.393,1.9,0.088,0.052
2422,7.72581643,77.01948785,25.37,7.303,6.291,0.54,0.005,0.003
2426,7.72954364,73.3704711,36.36,12.422,10.858,1.45,0.236,0.082
2453,7.80170012,69.78543643,23.95,7.975,7.437,0.66,0.007,0.006
2712,8.62236013,47.91539661,21.2,8.041,7.44,0.87,0.008,0.007
2716,8.64040952,62.90339141,19.32,8.318,7.792,1.15,0.011,0.01
2717,8.64778821,62.59047684,16.11,8.697,8.112,0.92,0.013,0.012
2760,8.80717832,51.83850877,22.87,8.092,7.443,1.0,0.008,0.007
2894,9.18049134,48.82833163,18.03,9.43,8.727,1.23,0.017,0.015
3008,9.56400804,52.33242473,43.4,12.018,10.681,1.94,0.133,0.061
3097,9.85771167,74.7499202,15.82,10.092,9.308,0.96,0.029,0.024
3179,10.12661349,56.53740928,14.27,3.768,2.377,0.57,0.002,0.002
3267,10.39382484,65.86836175,20.99,7.606,6.998,0.66,0.006,0.006
3279,10.44561425,55.68233412,14.53,9.384,8.682,1.09,0.011,0.009
3509,11.19905823,67.15832122,21.8,7.468,6.944,0.62,0.006,0.006
3512,11.2078201,56.41491061,16.65,10.408,9.444,1.29,0.021,0.015
3533,11.26559075,75.93802855,26.87,8.148,7.268,0.63,0.008,0.007
3587,11.44840072,66.49284151,23.1,8.186,7.603,0.78,0.008,0.007
3589,11.46162953,54.97801339,20.56,8.212,7.667,1.69,0.014,0.014
3641,11.65929285,69.32537127,24.65,6.88,6.445,0.59,0.003,0.004
3750,12.03698124,72.67445774,14.65,7.148,5.97,1.35,0.005,0.003
3821,12.27125262,57.8165477,167.99,4.158,3.52,0.62,0.003,0.003
3860,12.39207268,67.95272431,16.59,11.482,10.4,1.54,0.078,0.045
3876,12.44099553,70.44899713,46.47,8.921,7.843,0.7,0.011,0.008
3930,12.61379631,59.50273074,21.34,11.344,10.284,1.66,0.06,0.035
3965,12.73860936,51.50803371,15.0,6.728,6.405,0.72,0.003,0.003
4012,12.86707054,58.3010422,54.23,12.223,10.809,2.12,0.155,0.068
4016,12.87115851,56.50196415,15.96,8.889,8.171,0.94,0.01,0.009
4151,13.26783051,61.12355735,53.85,5.466,4.856,0.6,0.002,0.002
4168,13.30921292,50.86322952,12.76,9.506,8.888,1.27,0.013,0.012
4393,14.0715564,52.49123259,24.39,8.325,7.598,0.87,0.007,0.005
4422,14.16671042,59.18116582,15.84,5.843,4.732,0.58,0.002,0.002
4446,14.22912074,68.77574214,16.73,6.812,6.428,0.65,0.004,0.004
4454,14.26352093,69.04402238,41.45,10.517,9.25,1.01,0.033,0.018
4637,14.88446436,48.96641596,17.31,7.376,6.942,0.84,0.004,0.004
4856,15.62080367,71.68074123,122.77,11.736,10.133,1.23,0.094,0.034
4872,15.65812055,62.34482783,99.44,11.439,9.765,1.39,0.069,0.025
4904,15.73488776,64.83633307,14.9,8.931,8.35,0.85,0.013,0.012
4907,15.73689231,69.22742039,38.73,8.602,7.745,0.78,0.011,0.008
4989,15.9889183,48.86145056,16.66,7.699,7.23,0.89,0.007,0.007
5012,16.05892772,55.84683081,13.66,8.817,8.296,0.92,0.009,0.008
5016,16.06973676,54.20439985,16.06,7.453,6.889,0.71,0.004,0.004
5106,16.35911959,63.72169242,18.19,8.999,8.353,0.98,0.013,0.012
5186,16.59452876,62.76146736,14.39,6.784,6.549,0.66,0.004,0.004
5247,16.77560068,63.94055066,66.46,10.768,9.195,1.27,0.048,0.02
5273,16.85136635,69.87942742,21.01,11.837,10.659,1.61,0.111,0.062
5440,17.39592874,57.35008196,13.24,7.166,6.7,0.75,0.003,0.004
5531,17.70982927,67.78003781,17.41,7.21,6.617,0.67,0.004,0.004
5542,17.77471116,55.14994765,23.73,4.552,4.355,0.68,0.002,0.001
5674,18.22443868,51.60251016,12.94,7.69,7.334,1.28,0.006,0.008
5710,18.36270224,51.03448024,17.14,9.632,8.762,1.41,0.018,0.014
5784,18.54367268,58.81244629,23.31,7.81,7.229,0.86,0.006,0.005
5913,19.0186531,61.90758398,16.95,7.793,7.366,0.78,0.006,0.005
6178,19.81679495,61.69397498,12.93,8.922,8.452,1.03,0.009,0.009
6285,20.1543232,54.96255076,30.08,7.916,7.277,0.92,0.007,0.005
6290,20.1710989,57.32685005,52.71,12.211,10.496,5.18,0.144,0.042
6306,20.26345223,51.98392092,16.64,8.305,7.679,0.85,0.009,0.009
6312,20.27160602,64.65818814,13.67,6.465,6.34,0.62,0.003,0.003
6378,20.49558059,76.23888764,13.04,6.709,6.398,0.54,0.003,0.004
6379,20.49667464,76.7103681,59.46,8.237,7.272,0.59,0.009,0.006
6486,20.83863463,58.14321418,17.34,6.878,6.406,0.71,0.003,0.003
6542,21.01483603,54.35914937,17.06,8.946,8.311,2.05,0.013,0.011
6596,21.17787353,64.60000956,17.35,12.061,10.779,1.82,0.113,0.058
6686,21.45251267,60.23540347,32.81,2.869,2.694,0.62,0.002,0.001
6692,21.48293404,68.12994739,16.89,6.079,4.842,0.56,0.003,0.002
6914,22.25693873,74.20533813,17.25,8.05,7.316,0.63,0.007,0.006
7037,22.68508687,50.66602835,21.03,9.608,8.775,1.2,0.017,0.013
7078,22.80632718,70.2647886,34.19,6.388,5.878,0.57,0.003,0.003
7221,23.25814289,53.03372375,19.58,9.298,8.488,1.01,0.015,0.012
7294,23.48302496,59.23209665,15.96,5.957,4.796,0.68,0.003,0.002
7333,23.60301743,65.96378751,24.48,11.902,10.946,1.95,0.105,0.073
7339,23.64116285,68.94785738,47.65,7.366,6.599,0.6,0.007,0.005
7441,23.960429,56.69968295,19.39,10.574,9.474,1.33,0.035,0.022
7589,24.43484502,48.41273309,15.53,7.342,6.848,0.97,0.006,0.008
7607,24.49792651,48.62848641,18.76,5.257,3.732,0.74,0.003,0.002
7613,24.51976512,69.44377672,12.9,9.15,8.488,0.79,0.014,0.012
7744,24.92607729,65.16003065,22.58,9.495,8.611,1.05,0.015,0.012
7748,24.9392385,73.70925656,36.72,11.353,9.998,1.09,0.059,0.03
7855,25.25265766,49.10395458,13.73,8.151,7.467,1.02,0.01,0.009
