#HIP (Name),Ra (Degrees),Dec (Degrees),Plx (milliarcsec),B (mag),V (mag),err_Plx,err_B,err_V
7,0.02254891,20.03660216,17.74,10.542,9.679,1.3,0.039,0.03
25,0.07936537,-44.29029741,13.74,7.238,6.375,0.98,0.004,0.003
34,0.09946973,26.91823821,12.71,7.04,6.491,0.74,0.004,0.004
38,0.11104694,-79.06183133,23.84,9.614,8.723,0.78,0.016,0.012
47,0.13519236,-56.83524773,24.45,12.125,10.909,1.97,0.127,0.072
50,0.14287059,-53.09766277,16.89,7.256,6.579,0.8,0.004,0.003
54,0.15165558,17.96895579,20.97,11.685,10.679,1.71,0.102,0.065
55,0.15783323,-66.68310336,14.66,7.946,7.381,0.98,0.016,0.015
57,0.16828557,-69.67580068,33.89,9.353,8.353,0.79,0.013,0.009
58,0.17376341,62.17600484,26.06,7.665,7.11,0.67,0.006,0.005
68,0.20063628,16.98896499,31.8,10.017,8.903,1.17,0.024,0.016
74,0.22187281,35.75272213,24.22,11.364,10.112,1.36,0.075,0.038
80,0.24179216,-11.82353722,15.59,9.086,8.472,1.43,0.011,0.01
81,0.24386443,-4.93211471,23.43,9.377,8.656,1.28,0.015,0.013
84,0.25180722,27.88634368,18.9,10.686,9.7,1.33,0.05,0.032
93,0.29222255,-0.07592034,16.74,8.855,8.202,1.28,0.012,0.011
110,0.34870816,39.61081788,20.42,9.831,8.887,1.91,0.022,0.016
122,0.39937928,-77.06529438,14.77,6.43,4.928,0.47,0.003,0.002
128,0.41376473,73.61187664,15.2,6.74,6.521,0.63,0.004,0.004
135,0.42674592,-0.21749947,20.1,9.393,8.724,1.22,0.017,0.015
142,0.45374866,66.30600204,16.04,8.222,7.414,0.69,0.007,0.007
143,0.4551821,21.4621375,20.05,11.559,10.36,1.64,0.091,0.052
159,0.51081115,-2.76616306,16.92,7.275,6.968,0.81,0.006,0.007
169,0.53502093,-68.28020594,63.03,10.801,9.295,1.98,0.068,0.028
179,0.56886229,-13.40751554,14.91,7.548,6.956,0.9,0.005,0.004
184,0.58977565,11.00634091,29.75,9.574,8.541,1.21,0.021,0.014
194,0.62398938,8.48557854,26.53,6.069,5.735,0.77,0.004,0.004
223,0.69641117,2.1303764,21.58,7.994,7.336,1.65,0.011,0.01
238,0.7392741,-20.04607402,16.16,6.874,6.308,0.96,0.004,0.003
246,0.76368704,56.733184,18.29,10.937,9.887,1.56,0.043,0.027
249,0.77419621,31.87010321,13.24,9.436,8.844,1.03,0.019,0.017
276,0.85791177,20.66591788,15.55,8.237,7.555,0.95,0.01,0.008
277,0.85927886,-36.25120504,15.84,7.347,7.007,0.81,0.004,0.004
290,0.90411412,-31.09403248,15.26,8.423,7.844,1.03,0.009,0.008
293,0.91589999,-57.16443914,13.14,8.867,8.359,0.97,0.01,0.009
296,0.92207847,-28.39584776,25.29,9.209,8.325,1.11,0.018,0.014
301,0.93488487,-17.33597002,14.31,4.492,4.539,0.92,0.002,0.002
305,0.97206281,-28.3937693,20.44,8.56,7.738,0.96,0.01,0.008
308,0.98353978,14.37891704,13.9,7.445,7.126,0.84,0.005,0.006
325,1.04362757,39.12012608,14.48,9.314,8.65,1.07,0.015,0.013
340,1.07383315,-43.98832631,14.91,8.679,8.176,1.01,0.008,0.008
348,1.08880039,12.95705512,16.79,9.371,8.667,1.13,0.017,0.014
350,1.0993091,-57.32287483,21.14,11.832,10.498,1.62,0.092,0.044
351,1.1026229,-47.06812971,22.52,10.871,9.841,1.48,0.043,0.028
359,1.14426919,-76.87353696,17.09,9.851,9.159,0.88,0.024,0.021
400,1.23366004,23.26964739,39.06,8.763,7.902,0.93,0.013,0.01
404,1.23961728,45.67395209,14.53,8.024,7.407,1.21,0.01,0.009
407,1.24427458,-70.21220744,22.09,8.986,8.196,0.71,0.011,0.009
413,1.26034142,-36.01527326,19.78,8.384,7.815,0.87,0.008,0.007
420,1.28166779,-52.15142338,23.9,8.221,7.597,0.85,0.006,0.005
425,1.29047896,-62.84527102,14.25,8.846,8.199,0.83,0.011,0.01
428,1.29233645,45.78693438,86.98,11.771,10.131,1.41,0.08,0.03
436,1.32445343,-67.8312267,62.48,9.869,8.6,0.82,0.02,0.012
443,1.33394073,-5.70783255,25.38,5.958,4.738,1.05,0.003,0.002
439,1.33455564,-37.3516811,229.33,10.374,8.74,1.08,0.03,0.014
459,1.36813317,-61.22566452,18.57,9.641,8.897,0.95,0.016,0.014
460,1.36976446,22.22467477,22.2,10.067,9.232,1.14,0.026,0.02
462,1.37961808,-9.61729691,19.81,7.664,7.19,0.94,0.006,0.006
473,1.41782275,45.81245496,85.1,9.954,8.299,2.74,0.032,0.013
475,1.42333268,58.31365552,21.03,8.964,8.288,1.06,0.012,0.011
490,1.46861724,-41.7528821,24.85,8.221,7.574,0.92,0.007,0.007
493,1.47850515,18.23536692,26.24,8.156,7.514,0.82,0.009,0.007
494,1.47971363,-68.81162782,12.99,9.693,9.057,0.94,0.017,0.015
495,1.48151411,18.07622626,25.77,9.786,8.655,2.07,0.03,0.018
518,1.56474395,58.43668966,49.3,7.002,6.266,1.05,0.017,0.019
522,1.5777634,-49.07509405,39,6.319,5.763,0.64,0.002,0.002
544,1.65221045,29.02193518,72.98,7.008,6.155,0.75,0.006,0.004
560,1.70843563,-23.10742543,25.59,6.635,6.23,0.75,0.004,0.003
569,1.72480379,-3.62572272,18.71,8.923,8.31,1.05,0.014,0.013
577,1.75224377,32.87028504,15.97,10.58,9.711,1.47,0.045,0.032
599,1.81427471,-41.88961116,17.18,8.963,8.292,1,0.01,0.009
606,1.84336535,-25.35632439,20.63,7.602,7.106,0.91,0.006,0.007
616,1.88473813,-23.8189432,30.76,9.687,8.789,1.21,0.019,0.014
641,1.96614972,55.57701937,21.83,8.544,7.886,0.84,0.009,0.008
669,2.06820906,-14.82446576,36.18,7.786,7.107,1.02,0.007,0.005
677,2.09653333,29.09082805,33.6,2.003,2.05,0.73,0.003,0.004
682,2.10705914,6.6168073,25.15,8.352,7.671,0.97,0.011,0.009
687,2.11390101,17.42445447,45.64,12.731,10.939,1.92,0.318,0.093
689,2.11827092,34.93452295,12.72,8.113,7.47,0.86,0.009,0.007
691,2.12551099,52.33640337,14.43,8.186,7.808,0.96,0.006,0.007
699,2.17092314,36.62742794,30.26,6.808,6.271,0.69,0.004,0.003
705,2.1974024,86.78789828,16.24,9.102,8.462,0.7,0.013,0.012
722,2.23568502,12.804472,12.89,9.094,8.519,1.03,0.012,0.011
723,2.23740813,66.45664771,31.34,9.734,8.705,2.1,0.018,0.013
726,2.24830416,-39.73711336,18.22,8.487,7.793,0.95,0.008,0.006
737,2.26490408,40.84327725,16.09,8.124,7.039,0.75,0.008,0.006
746,2.29204036,59.15021814,59.89,2.72,2.318,0.56,0.003,0.003
753,2.31118231,32.47666637,17.75,10.355,9.438,1.21,0.034,0.024
754,2.31514306,25.28231728,22.07,8.627,7.859,2.31,0.01,0.009
755,2.31906353,65.07079864,17.03,8.209,7.132,0.69,0.009,0.006
759,2.33100682,17.53423872,19.28,7.85,7.143,0.79,0.007,0.007
761,2.3375862,-27.9879039,14.57,5.932,5.486,1.34,0.005,0.004
765,2.35224949,-45.74698836,23.28,5.187,3.993,0.98,0.003,0.002
768,2.36659201,19.11569982,13.8,8.792,8.031,1.3,0.013,0.011
772,2.377913,-34.11077214,16.26,9.369,8.597,0.98,0.014,0.011
787,2.43155816,-31.82493921,23.86,10.831,9.619,1.59,0.052,0.029
791,2.45189211,-40.8926432,13.92,9.337,8.622,1.11,0.013,0.011
792,2.45274609,-6.84116094,12.54,9.556,8.513,1.23,0.019,0.013
794,2.45885362,-33.78868219,17.08,9.944,8.95,1.86,0.02,0.014
801,2.47045485,-50.26778193,18.8,9.017,8.368,1.05,0.01,0.009
814,2.50945435,-82.22399743,13.45,6.625,5.397,0.5,0.004,0.002
840,2.57853868,-5.24851713,18.18,7.099,5.957,0.92,0.006,0.004
846,2.59569702,-13.98412856,13.53,9.657,9.027,1.28,0.018,0.016
856,2.62339153,15.23192856,12.91,8.813,8.286,1.06,0.011,0.01
865,2.65962298,-73.22443438,15.06,7.088,6.695,0.7,0.005,0.005
867,2.66293453,12.82027132,15.57,9.146,8.53,1.17,0.013,0.012
870,2.6697124,2.05549803,18.2,8.068,7.553,0.91,0.011,0.01
873,2.67810574,-12.57980381,15.35,7.139,5.975,0.74,0.005,0.003
889,2.73299802,48.1104051,16.45,9.079,8.461,0.95,0.011,0.01
895,2.75589325,29.55052263,12.6,9.057,8.61,1.18,0.015,0.015
910,2.81628415,-15.46732287,52.94,5.472,4.953,0.77,0.003,0.002
914,2.82543312,-32.80041484,15.08,9.47,8.681,1.1,0.02,0.016
919,2.8428974,30.44948927,29.35,8.897,8.028,0.95,0.012,0.01
920,2.85187794,23.81814771,18.6,8.892,8.297,0.91,0.014,0.013
924,2.87859206,-49.62920981,20.86,9.788,8.934,2.16,0.029,0.022
929,2.88657321,-58.90982912,17,9.106,8.435,0.82,0.012,0.01
934,2.89853096,-57.47238652,27.46,10.146,9.109,1.09,0.021,0.015
943,2.9061454,10.32845614,20.55,9.386,8.689,1.21,0.02,0.018
948,2.92120675,-39.22963982,29.15,11.276,10.121,1.54,0.06,0.033
950,2.93286698,-35.13339606,45.85,5.766,5.292,0.66,0.002,0.002
955,2.95060084,-17.55770035,16.48,9.77,9.115,1.49,0.021,0.019
956,2.95912203,28.42325717,12.79,8.095,7.572,1.43,0.009,0.009
974,3.01599223,27.09915401,38.88,10.061,8.83,1.22,0.028,0.017
975,3.02160438,-58.52479986,17.21,8.552,7.708,0.76,0.009,0.007
996,3.11749211,20.23439937,19.39,8.969,8.24,1,0.012,0.01
999,3.1254916,14.56369614,24.69,9.378,8.538,1.2,0.015,0.012
1000,3.12556151,-22.06708268,15.32,9.614,8.841,1.34,0.02,0.016
1003,3.13675616,-30.85929019,21.09,9.581,8.729,1.23,0.019,0.015
1013,3.1614569,-26.85334216,15.34,9.164,8.064,0.99,0.016,0.011
1022,3.18764257,4.97584483,15.9,11.161,9.963,1.78,0.069,0.039
1026,3.19984759,46.09543717,18.06,7.094,6.668,0.76,0.004,0.004
1031,3.20991289,-57.91269485,49.18,8.197,7.308,0.78,0.008,0.006
1044,3.26092514,-45.17634037,27.5,12.335,11.02,1.94,0.175,0.087
1055,3.28763586,20.38241602,24.96,12.049,10.654,2.95,0.146,0.063
1058,3.29159465,-43.06516969,14.72,8.075,7.608,0.86,0.007,0.008
1078,3.35151982,19.07164311,28.3,11.478,10.003,1.48,0.076,0.031
1085,3.37844842,-40.3583852,30,10.22,9.156,1.25,0.021,0.014
